Date,Open,High,Low,Close,Adj Close,Volume
2021-02-08,389.269989,390.559998,388.350006,390.510010,380.962219,38365200
2021-02-09,389.609985,390.890015,389.170013,390.250000,380.708588,35551100
2021-02-10,392.119995,392.279999,387.500000,390.079987,380.542725,59154400
2021-02-11,391.239990,391.690002,388.100006,390.709991,381.157288,42913300
2021-02-12,389.850006,392.899994,389.769989,392.640015,383.040161,50593300
2021-02-16,393.959991,394.170013,391.529999,392.299988,382.708435,50972400
2021-02-17,390.420013,392.660004,389.329987,392.390015,382.796265,52290600
2021-02-18,389.589996,391.519989,387.739990,390.720001,381.167084,59712800
2021-02-19,392.070007,392.380005,389.549988,390.029999,380.493958,83241000
2021-02-22,387.059998,389.619995,386.739990,387.029999,377.567291,67414200
2021-02-23,384.660004,388.950012,380.200012,387.500000,378.025787,107284100
2021-02-24,386.329987,392.230011,385.269989,391.769989,382.191376,72433900
2021-02-25,390.410004,391.880005,380.779999,382.329987,372.982239,146670500
2021-02-26,384.350006,385.579987,378.230011,380.359985,371.060364,152701600
2021-03-01,385.589996,390.920013,380.570007,389.579987,380.054901,105348800
2021-03-02,389.820007,390.070007,386.000000,386.540009,377.089325,79595300
2021-03-03,385.790009,386.829987,381.309998,381.420013,372.094482,119940200
2021-03-04,381.220001,384.000000,371.880005,376.700012,367.489868,183433000
2021-03-05,380.459991,384.760010,372.640015,383.630005,374.250458,152039600
2021-03-08,384.660004,387.679993,381.420013,381.720001,372.387115,123149200
2021-03-09,385.850006,389.910004,385.309998,387.170013,377.703888,113633600
2021-03-10,389.690002,391.399994,388.170013,389.579987,380.054901,109899400
2021-03-11,392.230011,395.649994,391.739990,393.529999,383.908417,86245000
2021-03-12,392.070007,394.209991,391.200012,394.059998,384.425415,64653600
2021-03-15,394.329987,396.690002,392.029999,396.410004,386.717926,73427200
2021-03-16,397.070007,397.829987,395.079987,395.910004,386.230194,73722500
2021-03-17,394.529999,398.119995,393.299988,397.260010,387.547150,97959300
2021-03-18,394.480011,396.720001,390.750000,391.480011,381.908478,115349100
2021-03-19,389.880005,391.570007,387.149994,389.480011,381.201843,113624500
2021-03-22,390.029999,394.070007,389.970001,392.589996,384.245728,73778600
2021-03-23,391.910004,393.459991,388.660004,389.500000,381.221436,90686600
2021-03-24,391.000000,392.750000,387.470001,387.519989,379.283478,97588600
2021-03-25,385.980011,390.549988,383.899994,389.700012,381.417175,116128600
2021-03-26,390.929993,396.410004,390.290009,395.980011,387.563690,114409100
2021-03-29,394.399994,396.750000,392.809998,395.779999,387.367981,108107600
2021-03-30,394.420013,395.450012,393.019989,394.730011,386.340271,76262200
2021-03-31,395.339996,398.000000,395.309998,396.329987,387.906250,112734200
2021-04-01,398.399994,400.670013,398.179993,400.609985,392.095245,99682900
2021-04-05,403.459991,406.940002,403.380005,406.359985,397.723053,91684800
2021-04-06,405.760010,407.239990,405.399994,406.119995,397.488159,62021000
2021-04-07,405.940002,406.959991,405.450012,406.589996,397.948151,55836300
2021-04-08,407.929993,408.579987,406.929993,408.519989,399.837158,57863100
2021-04-09,408.390015,411.670013,408.260010,411.489990,402.744019,61104600
2021-04-12,410.850006,411.929993,410.200012,411.640015,402.890869,56704900
2021-04-13,411.529999,413.529999,411.119995,412.859985,404.084869,56551000
2021-04-14,412.829987,413.959991,410.869995,411.450012,402.704926,61659900
2021-04-15,413.739990,416.160004,413.690002,415.869995,407.030945,60229800
2021-04-16,417.250000,417.910004,415.730011,417.260010,408.391388,82037300
2021-04-19,416.260010,416.739990,413.790009,415.209991,406.384949,78498500
2021-04-20,413.910004,415.089996,410.589996,412.170013,403.409607,81851800
2021-04-21,411.510010,416.290009,411.359985,416.070007,407.226685,66793000
2021-04-22,415.890015,416.779999,411.130005,412.269989,403.507477,97582800
2021-04-23,412.869995,418.250000,412.790009,416.739990,407.882446,73209200
2021-04-26,417.440002,418.220001,416.809998,417.609985,408.733948,52182400
2021-04-27,417.929993,418.140015,416.299988,417.519989,408.645905,51303100
2021-04-28,417.809998,419.010010,416.899994,417.399994,408.528412,51238900
2021-04-29,420.320007,420.720001,416.440002,420.059998,411.131897,78544300
2021-04-30,417.630005,418.540009,416.339996,417.299988,408.430542,85527000
2021-05-03,419.429993,419.839996,417.670013,418.200012,409.311401,68128300
2021-05-04,416.070007,416.600006,411.670013,415.619995,406.786255,101591200
2021-05-05,417.380005,417.630005,415.149994,415.750000,406.913452,60162200
2021-05-06,415.829987,419.209991,413.679993,419.070007,410.162933,74321400
2021-05-07,419.890015,422.820007,419.160004,422.119995,413.148132,67733800
2021-05-10,422.500000,422.739990,417.809998,417.940002,409.056976,81852400
2021-05-11,413.100006,415.269989,410.059998,414.209991,405.406219,116888000
2021-05-12,411.230011,412.589996,404.000000,405.410004,396.793274,134811000
2021-05-13,407.070007,412.350006,407.019989,410.279999,401.559753,106394000
2021-05-14,413.209991,417.489990,413.179993,416.579987,407.725830,82201600
2021-05-17,415.390015,416.390015,413.359985,415.519989,406.688385,65129200
2021-05-18,415.799988,416.059998,411.769989,411.940002,403.184509,59810200
2021-05-19,406.920013,411.049988,405.329987,410.859985,402.127380,106467100
2021-05-20,411.799988,416.630005,411.670013,415.279999,406.453491,78022200
2021-05-21,416.869995,418.200012,414.450012,414.940002,406.120728,76578700
2021-05-24,417.339996,420.320007,417.079987,419.170013,410.260773,51376700
2021-05-25,420.329987,420.709991,417.619995,418.239990,409.350586,57451400
2021-05-26,418.869995,419.609985,417.760010,419.070007,410.162933,43088600
2021-05-27,420.170013,420.720001,418.989990,419.290009,410.378235,56707700
2021-05-28,420.970001,421.250000,419.790009,420.040009,411.112335,58520200
2021-06-01,422.570007,422.720001,419.200012,419.670013,410.750214,54216600
2021-06-02,420.369995,421.230011,419.290009,420.329987,411.396118,49097100
2021-06-03,417.850006,419.989990,416.279999,418.769989,409.869324,58138800
2021-06-04,420.750000,422.920013,418.839996,422.600006,413.617920,55938800
2021-06-07,422.589996,422.779999,421.190002,422.190002,413.216644,51555000
2021-06-08,423.109985,423.209991,420.320007,422.279999,413.304718,47134300
2021-06-09,423.179993,423.260010,421.410004,421.649994,412.688110,48436300
